Wallet	Amount
0x32bacc8b241fb172fee18bda32527126c6f3c5f7	963930173170731590100
0x72a7197bbccbe6ee1e9c688645436ed06017768a	47584966474107188344858
0x9ce7318fc46cddfaf3089327b4d58d54784e541c	82128068909600000000
0x111115111fd0953445d624ceaac28d0ad0c9e74f	74397842804882440926
0x4e2d0c204554c7f9cb1e3b3ac1e83dd3b4fc9622	678041000000000000000
0xb52736b178bf12f133b0bbd108650b3b4121ef5c	604072730350000000000
0x26afa29ce626d9dcc331ad5e0fbd454ad6362c7c	6500750000000000000000
0x1f4fe4426bb6936b1007bb0a30f2f46e7c1b64dd	6272601576000000000000
0x01dbb419d66be0d389fab88064493f1d698dc27a	56370777896189830879613
0xe8ebb13902a7ab342163d2a241c1e4891798b56f	5776906500000000000
0x4013f4f6ec28f84ea9071336466bf8916f179852	5390000000000000000
0xec0dc7522ff8d3da35924bfaebeb5b8d79121d61	5000175997910000000000
0xae50462e7ed5b22f31b1ed3a5ef3fb9220277ef7	499356730829999992832
0xaac6ba6cb7d29722bedd1ee06bfccd30fa3c7581	48999944990000000000
0x3fec3c6e014e28566000a1be3cfcb43327d4b743	44227178000000000000000
0x0cc12572d4028e492a919fe82feeda53fe43782f	4930250000000000000
0x01e5be25eb25a0b4ffb73d34a0b5b72b49dafa7a	4060000000000000000
0xd4d2a4b571109ad1397e953ab87d6e5feed031b2	4000000000000000000
0xd93719574b0bc5f691f5da8cae9599cec1f202c7	4000000000000000000
0x3d578574e5f8e5db7936b95220e335dca7e8bbce	38178750280000000000
0x20b014a0b669906781250cdcf9966d5c4ce1527a	33503592326936608482886
0x7cda7e8f32f2c37e4aae627a98ed130eb4a678f8	3063563208205383416
0x75520dafacbe7669820f82709ca2feae9ec4f57d	3500050000000000000000
0x73f879679b0fd8b25196834fe3e7a9615ea1b608	299995048589999999990
0x111b3d565f5da36b1decdf19dfbb26dc6cd970c6	28419574759402935608
0xb94f3a5ca67be4b33c73c16e84d7cd82277d772c	27581716989999997952
0x062d1816ea36366a714c34b9b283f4d377dc0191	25000000000000000001
0xb6a86c3ccb3f062e3208071cda361f7f47a6ed8e	20000000000000000000
0x40f69798812a1b2498d788a69e7e8edbadb72aad	2209990000000000000000
0xb68dd3322631244b553fea98040399a4258cf04d	2000000000000000000
0x039704a4ecf78b0e1eef8f181a7838a0c68876ca	2000000000000000000
0xed1475eee0c969d4877bd05ffdd6bfdc84b821da	185227590490000000000
0xd0f706bf4738732145344dc407d36b88859c3349	18729683654445730378095
0xa113f56092cefb9255c56813de43c6ca2d80681c	17275500000000000000
0xab88b9bc99476dd4d7d8a1d8381066519359f243	16600000000000000000
0x496d9b487b78090d9ba0b15950da35bc213dd4bc	147306914000000000000
0xb7aa741108ae27e02401fef2101114e5b8bb0ad9	13500000000000000000
0xae307e3871e5a321c0559fbf0233a38c937b826a	120883241813525696659043
0xfe7e3ee7d3fcd8f3957aafb8348a38d229e4409a	12017531183558901529623
0x7bf67bdbf58a3c7a6eab82788273960702fb4dc9	12000587000000000000000
0x651a3731f717a17777c9d8d6f152aa9284978ea3	102420000000000000000
0xaa693f51d92179c282c700b7e2a6e7052823c291	1500000000000000000
0xd1f4b2bb61b2dec72d5222a6beb062a9575d6804	1280317061668528324
0x5ed38634c678a8d5a95234b4b7b2ca07e5bb80a0	1109664063772724648
0xc4623b433a77b870ef7a995c1443fe2e0657992b	1107300000000000000
0x4c7e21914b6a1c7183455134e24023e88ee90cd1	1071610360000000000
0x50532e594bc045b75df5e57187e2e24d4655c21e	1006000000000000000
0x248c9bae4fee646906821155ef1a538e7ca978ec	1452206529871658101802
0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	1438045657734000000000
0xf3ee7953a11d5ffae24d12a2e8d2d77afb5a2730	1400000000000000000000
0x637cc72b210546e0af1590fd2c9153501f3d1bfd	1071673822858548784718
0xe18b0c48a7d1e9dfa333157fa222c783f35044a7	1000000000000000000
0xc7a13c9ceba109499c2c00af977591b55a03e6af	999217000000000000
0x1f6cbb740f7eeb4806276376e7378dd1fa36fc11	993861778431750000
0x956ff844abd8f58add1160c62810ad34befc8bbd	977120641896435752
0xbec591de75b8699a3ba52f073428822d0bfc0d7e	932605820062911880
0x5aff03be8357d53f4758db5894744f51d515e41f	734364468170185838
0x50126e8fcb9be29f83c6bbd913cc85b40eaf86fc	550000000000000000
0xfd2b11f7e1b58c7f9ccf5479aab8ed4bf7a7ee8b	500000000000000000
0xf6a4384aa41f74714a71e01b3f3faf75a6e879bc	488528036333721686
0xc511c9934e9e314da30dffa170d6eb33947ec4bc	469324257000000000
0x90f737392c48618242b28eaa8d4fdc4793af2676	333400000000000000
0x3085335d03541c007fb7b15e9112ca1f364ad8bb	290000000000000000
0xc8987f22eadef2b68c59938d9a6dfb1fc0c4e0b6	209028198209949667
0x80be1f02d789db2704be5a9f6b97ec8713ebc529	200000000000000000
0xdeb5af89cd95eb814be5c1690144d1f2d7143747	160812978327062530
0x06c1edc5d0fb879ab8b129dcff1f7b704782508b	100000000000000000
0xefc0290283c59572fc03a6cc433831935477ada3	100000000000000000
0x22dc62c96de482743b231f29326a3d18b2d73eb2	100000000000000000
0xa96b0d4cacc9714f69e42bfa49cd20858eb2fe24	100000000000000000
0x8edaaaf2f30edd0a561c219f475fff026cdac575	99493560000000000
0x10df28c3ccf3300dd8ff924d9f15440f46d918f7	90000000000000000
0xccfa829f12bd1b7618702ace114a0e464f311f6e	80907910000000000
0x2ddf00ef072b0375fd4c6f0acfd4cbe0065f9a69	70000000000000000
0x260a28a165081f5cfe94454543514e76ae746410	60000000000000000
0xe50634f6cabc048e069ead7ddda94dcf51173841	59051583323919257
0x32a5b17b23d70124c9910b177b131ce3281a930b	55000000000000000
0x8bbaf6956e8e2aef3eb8f192f5eaf48b4bbbb126	51000000000000000
0x5eef2747f49ce446f10036ddf48af6b27c3d61b7	50000000000000000
0xb1acfe19d3277c9b6e29472dbbfa0fa96f81597d	50000000000000000
0x2c6647d4c95b9e064ceb48727cb4f4918c16d824	50000000000000000
0xbf764eb314daad130dbad1f75aec54990f21c29b	40000000000000000
0x25e4af0dd6f4f7127a82a5a82a53e1e6aace4835	28000000000000000
0x77cc39282a160a4a565f10e83c36fd0544965b6e	24000000000000000
0x7f8e70a2851942346eb08ac9b506f83ffbff1138	21387135525000000
0xa6ae6a5d2853262a3f591043ea63d4b06940ef0f	21367120000000000
0x30b3c64d43e7a1e8965d934fa96a3bfb33eee0d2	20000000000000000
0x76b51d3d4337b09757a412db0c57182329481a48	20000000000000000
0x8f4b3c36196a4c94c69debded3060424e339c2ea	19000000000000000
0x2993753c24323d9152e69f6589109f67b2921dac	19000000000000000
0xd7e7de032e4682cb150e8fe8c8dcbdc99b4c1fff	16358640000000000
0xc6c554d741c0eac1f70deaec54943f62ac25946a	12145115000000000
0x69ad38baa72a277cb83d1eccc6279552e0f25dc0	11000000000000000
